FID,ogc_fid,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,id,nombre,descripcion,direccion,url,email,contacto,horarios,precios,titularidad,tarjetajoven,accesopmr,tlfcontacto,infoesp,wkb_geometry,VEINTICUATROHORAS,fiabilidad_pct
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ef7,6220600,,,,,,,-1,0,-1,,,74518,DEA_765,"TOTEM (Emilio Zola, 24)","CALLE EMILIO ZOLA, 24",,jtoscano@malaga.eu,,24 h.,,MUNICIPAL,No,No,682760873,,POINT (-4.483543571404067 36.73476934786873),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ef6,6220601,,,,,,,-1,0,-1,,,7244,DEA_225,Centro Ciudadano 26 de Febrero (Recepción),"CALLE FRANCISCO CARTER, 15",,phogar5@malaga.eu,,L a V 9:00 a 20:00,,MUNICIPAL,No,No,951928920,,POINT (-4.429078557134431 36.74212759961532),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ef5,6220602,,,,,,,-1,0,-1,,,11614,DEA_353,BOMBEROS CENTRAL (Recepción parque),"PASEO MARTIRICOS, 12",,scgalvez@malaga.eu,,24h,,MUNICIPAL,No,No,951928987,,POINT (-4.426711455169583 36.72834423653771),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ef4,6220603,,,,,,,-1,0,-1,,,12527,DEA_433,BOMBEROS (Parque Central)(R5 4456 HRH),"PASEO MARTIRICOS, 12",,scgalvez@malaga.eu,,24 H.,,MUNICIPAL,No,No,951928987,,POINT (-4.426932933585416 36.7283664936253),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ef3,6220604,,,,,,,-1,0,-1,,,14144,DEA_694,BOMBEROS PARQUE BOMBEROS CENTRAL,"PASEO MARTIRICOS, 12",,scgalvez@malaga.eu,,24 h.,,MUNICIPAL,No,No,951928987,,POINT (-4.426932933585416 36.7283664936253),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ef2,6220605,,,,,,,-1,0,-1,,,12365,DEA_426,TOTEM (Pl. de la Solidaridad),"PLAZA DE LA SOLIDARIDAD, 6",,jtoscano@malaga.eu,,24 h.,,MUNICIPAL,No,No,,,POINT (-4.431701263005864 36.7146313253847),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ef1,6220606,,,,,,,-1,0,-1,,,11638,DEA_365,CENTRO CIUDADANOS SAN CARLOS LITORAL,"CALLE DE FRANCISCO DE SALINAS, 6",,gocaco53@hotmail.com,,L Y MIERC. 11:00 a 12:00h.,,MUNICIPAL,No,No,,,POINT (-4.443753588692837 36.690754932538546),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ef0,6220607,,,,,,,-1,0,-1,,,3650,DEA_135,Mercado Ciudad Jardín (entrada C/ Emilio Tuiller),"CALLE EMILIO THUILLIER, 101",,lolyrico64@gmail.com,,De 7:00 a 15:00 h,,MUNICIPAL,No,No,619040107,,POINT (-4.421963614603197 36.7463767539576),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eef,6220608,,,,,,,-1,0,-1,,,9094,DEA_629,EMPRESA Banco Unicaja AVENIDA ANDALUCÍA (A la derecha del puesto de seguridad de la entrada),"AVENIDA DE ANDALUCÍA, 12",,mhorcaja@unicaja.es,,L a V    08:00 a 15:00 h.,,PRIVADA,No,No,952138171,,POINT (-4.430756442999777 36.717347550166906),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eee,6220609,,,,,,,-1,0,-1,,,3647,DEA_134,Junta de Distrito El Palo,"CALLE MARTÍNEZ FALERO, 34",,distrito2@malaga.eu,,L-V: 8:00 a 15:00h,,MUNICIPAL,No,No,951926042,,POINT (-4.356114520707094 36.72102464719083),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eed,6220610,,,,,,,-1,0,-1,,,3686,DEA_139,Mercado Churriana (Entrando a la derecha),"PLAZA MAYOR, 1",,,,De 7:00 a 15:00 h,,MUNICIPAL,No,No,656912292,,POINT (-4.5038875011658055 36.668369608523264),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eec,6220611,,,,,,,-1,0,-1,,,10326,DEA_640,"EMPRESA HOTEL SOHO Boutique Malaga (entrada principal, entrando a la derecha al lado de la puerta)","CALLE CÓRDOBA, 5",,,,24h,,PRIVADA,No,No,952224079,,POINT (-4.422154755015816 36.7169800525397),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eeb,6220612,,,,,,,-1,0,-1,,,73824,DEA_746,EMPRESA MEDICAL CENTER LA MALAGUETA SL,"CALLE FARO, 2",,admin@cmlamalagueta.com,,9:00-13:00 y 15:30-20:00,,PRIVADA,No,No,952224690,,POINT (-4.411806814066935 36.71754617613475),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eea,6220613,,,,,,,-1,0,-1,,,13544,DEA_506,Centro Servicios Sociales CIUDAD JARDIN( hall a la derecha),"CALLE LAS MORERAS, 6",,css3@malaga.eu,,L a V 8:30 a 14:00 y 15:30 a 20:00 h.,,MUNICIPAL,No,No,951926073,,POINT (-4.417984130594658 36.74430393329129),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ee9,6220614,,,,,,,-1,0,-1,,,7265,DEA_230,"Centro Ciudadano María Zambrano (Hall, al lado de la escalera)","CALLE LAS MORERAS, 2",,almagro.elmoral@gmail.com,,L-V 08:00 a 20:30h,,MUNICIPAL,No,No,691427128,,POINT (-4.416889876627771 36.743777138454554),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ee8,6220615,,,,,,,-1,0,-1,,,6641,DEA_592,"EMPRESA Plaza Mayor Shopping S.A.U (Plaza Jazmínes, junto ascensores)","CALLE ALFONSO PONCE DE LEÓN, 4",,jperea@sonaesierra.com,,L a S 10::00 a 22:00h.,,PRIVADA,No,No,952172515,,POINT (-4.478656967378988 36.6568154793254),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ee7,6220616,,,,,,,-1,0,-1,,,4101,DEA_574,EMPRESA EMBARBA SA,"AVENIDA DE VELÁZQUEZ, 327",,docana@EMBARBA.COM,,"L-V 7:00-21:00H
S-D 10:00-18:00H",,PRIVADA,No,No,952176517,,POINT (-4.4761203097845685 36.674428127830154),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ee6,6220617,,,,,,,-1,0,-1,,,3946,DEA_579,"EDUCACIÓN CE Diocesano Padre Jacobo (pasillo planta baja, entre puerta entrada y salida)","CALLE GUADALAVIAR, 1",,relacionesexternas@fundacionvictoria.edu.es,,L a V de 8:30 a 15:00h (periodo escolar),,PRIVADA,No,No,952311044,,POINT (-4.437852393845178 36.70793292096948),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ee5,6220618,,,,,,,-1,0,-1,,,6642,DEA_593,"EMPRESA Plaza Mayor Shopping S.A.U. (Edificio Ocio, Plaza central Food Court, Junto escaleras)","CALLE ALFONSO PONCE DE LEÓN, 5",,jrperea@sonaesierra.com,,L a D de 10:00 a 1:00,,PRIVADA,No,No,952172515,,POINT (-4.478170148708261 36.65745534971492),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ee4,6220619,,,,,,,-1,0,-1,,,8184,DEA_615,EMPRESA Belife Wellness Center  (Sala fitness-pasillo piscina cubierta),"CALLE MARÍA CURIE, 30",,comercial@belife.be,,"L a V 8 a 22 h 
S 8 a 15 h 
",,PRIVADA,No,No,951100909,,POINT (-4.547708749225332 36.73890267096787),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ee3,6220620,,,,,,,-1,0,-1,,,7226,DEA_222,CULTURA Centro Cultural Vecinal San Julián (Hall),"CAMINO GUADALMAR A LA LOMA, 24",,lalomadesanjulian@hotmail.com,,De lunes a viernes de 10:00 a 13:00 horas y de 17:00 a 22:30 horas.,,MUNICIPAL,No,No,,,POINT (-4.471923561034485 36.66813345492689),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ee2,6220621,,,,,,,-1,0,-1,,,7926,DEA_614,EMPRESA Pública de Emergencias Sanitarias (primera planta frente ascensor),"CALLE MARÍA CURIE, 7",,,,8 a 15 horas,,PRIVADA,No,No,951035900,,POINT (-4.550109651303014 36.73760219879),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ee1,6220622,,,,,,,-1,0,-1,,,4281,DEA_588,EMPRESA MADES ( planta de Producción),"AVENIDA DE JUAN LÓPEZ DE PEÑALVER, 12",,ecalcedo@mades.es,,L a V de 09:00 a 17:30h,,PRIVADA,No,No,952249259,,POINT (-4.551749994167508 36.735236823574134),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ee0,6220623,,,,,,,-1,0,-1,,,8853,DEA_621,EMPRESA CC Málaga Factory (Galería principal frente ascensor ),"CALLE JAÉN, 3",,info@caryosa.com,,L a S 10:00 a 22:00,,PRIVADA,No,No,673288199,,POINT (-4.471032125632679 36.68630335766728),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1edf,6220624,,,,,,,-1,0,-1,,,12946,DEA_449,Centro Comercial Málaga Factory,"CALLE JAÉN, 3",,info@malaga-factory.com,,DE 10:00 A 22:00H,,PRIVADA,No,No,,,POINT (-4.470970211653793 36.68574762924655),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ede,6220625,,,,,,,-1,0,-1,,,80134,DEA_810,HABITEC (CENTESIMAL),"CALLE MARÍA CURIE, 22",,areainnovacion@malaga.eu,,8:00-16:30h L-V no festivos,,PRIVADA,No,No,952028125,,POINT (-4.547365365484522 36.736310828553805),No,66
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1edd,6220626,,,,,,,-1,0,-1,,,6944,DEA_201,Caseta de Control PTA (Planta baja),"AVENIDA DE JUAN LÓPEZ DE PEÑALVER, 1",,control@ext.pta.es,,24 horas,,PRIVADA,No,No,951231300,,POINT (-4.550639375274679 36.73259251968187),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1edc,6220627,,,,,,,-1,0,-1,,,6721,DEA_600,"EMPRESA ANOVO IBÉRICA MADRID, S.L.U. (En  zona de oficinas junto al Servicio Médico)","AVENIDA DE JUAN LÓPEZ DE PEÑALVER, 4",,jmjimenez@anovo.es,,L a V 09:00 a 19:00 h.,,PRIVADA,No,No,952020020,,POINT (-4.550588228508915 36.733008948468346),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1edb,6220628,,,,,,,-1,0,-1,,,4285,DEA_590,EMPRESA Ahumados Ubago S.L. (comedor del personal),"CALLE CHARLES DARWIN, 3",,dcanal@ubagogroup.com,,L a V 07:00 - 15:00 horas.,,PRIVADA,No,No,951010470,,POINT (-4.555881858303454 36.74309846176794),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eda,6220629,,,,,,,-1,0,-1,,,8849,DEA_620,EMPRESA CC Málaga Ocio (Planta Baja Columna frente Bolera),"CALLE JAÉN, 1",,info@caryosa.com,,L a D 9:00-01:00,,PRIVADA,No,No,607850776,,POINT (-4.4724810790229075 36.68527631999282),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ed9,6220630,,,,,,,-1,0,-1,,,12947,DEA_450,Centro Comercial Málaga Ocio,"CALLE JAÉN, 1",,info@ccmalagaocio.com,,DE 9:00 H A 00:00H,,PRIVADA,No,No,,,POINT (-4.471644129413234 36.68507361135819),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ed8,6220631,,,,,,,-1,0,-1,,,80438,DEA_821,CENTRO CONTROL ACCESOS APARCAMIENTO Y VIGILANCIA PTA (CENTESIMAL),"AVENIDA DE JUAN LÓPEZ DE PEÑALVER, 2",,areainnovacion@malaga.eu,,24H,,PRIVADA,No,No,952217511,,POINT (-4.550242463849 36.732146412926184),Si,95
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ed7,6220632,,,,,,,-1,0,-1,,,12884,DEA_352,PISTAS DEPORTIVAS LAS PEDRIZAS,"CALLE DECANO EDUARDO PALANCA, 2",,miryramos@hotmail.com,,DE 17 a 22 h.,,MUNICIPAL,No,No,658201411,,POINT (-4.513629987329625 36.66836294118179),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ed6,6220633,,,,,,,-1,0,-1,,,14265,DEA_704,Centro Servicios Sociales CAMPANILLAS,"CALLE CRISTOBALINA FERNÁNDEZ, 4",,css9@malaga.eu,,L-V 09:00 a 14:00 h.,,MUNICIPAL,No,No,951926902,,POINT (-4.536718517431634 36.723040882145696),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ed5,6220634,,,,,,,-1,0,-1,,,7824,DEA_238,TOTEM (C/ Granada nº26),"CALLE GRANADA, 26",,jtoscano@malaga.eu,,24H,,MUNICIPAL,No,No,,,POINT (-4.420495919902749 36.721701066352324),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ed4,6220635,,,,,,,-1,0,-1,,,3984,DEA_549,METRO Estación Puerta Blanca (Vestíbulo),"AVENIDA DE VELÁZQUEZ, 103",,j.ocana@metromalaga.es,,"Lunes a Jueves: 06:30-23:15
Viernes: 06:30-1:45
Sábado: 07:00-01:45
Domingo y festivos: 07:00-23:15
Horarios especiales Navidad, Semana Santa y Feria. Consultar oficina Att. Cliente: 902112233",,PRIVADA,No,No,952061641,,POINT (-4.455910875987299 36.691444232350605),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ed3,6220636,,,,,,,-1,0,-1,,,3989,DEA_555,METRO Estación Palacio de los Deportes (vestíbulo),"CALLE LEXICÓGRAFA MARÍA MOLINER, 2",,j.ocana@metromalaga.es,,"Lunes a Jueves: 06:30-23:15
Viernes: 06:30-1:45
Sábado: 07:00-01:45
Domingo y festivos: 07:00-23:15
Horarios especiales Navidad, Semana Santa y Feria. Consultar oficina Att. Cliente: 902112233",,PRIVADA,No,No,952061641,,POINT (-4.459343276157404 36.68515596814312),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ed2,6220637,,,,,,,-1,0,-1,,,13524,DEA_336,CENTRO CIUDADANOS Mª JESUS MORENO JIMENEZ,"CALLE JUAN FRANCÉS BOSCA, 20",,info@afilroma.org,,L a V 9:30 a 12:30 y 17 a 21,,MUNICIPAL,No,No,,,POINT (-4.467862327364989 36.72684271809029),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ed1,6220638,,,,,,,-1,0,-1,,,3646,DEA_092,CULTURA Alcazaba (Recepción),"CALLE ALCAZABILLA, 2",,sescobar@malaga.eu,,"Verano: de 09:00 a 20:00
Invierno : de 09:00 a 18:00",,MUNICIPAL,No,No,951927706,,POINT (-4.417013919216789 36.720599835426164),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ed0,6220639,,,,,,,-1,0,-1,,,6666,DEA_197,"TOTEM (Calle Alcazabilla nº12, frente Teatro Romano)","CALLE ALCAZABILLA, 12",,jtoscano@malaga.eu,,24 horas,,MUNICIPAL,No,No,,,POINT (-4.417245545169168 36.72170748891022),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ecf,6220640,,,,,,,-1,0,-1,,,12466,DEA_435,"TOTEM (C/ Lope de Rueda,63)","CALLE LOPE DE RUEDA, 63",,jtoscano@malaga.eu,,24 h.,,MUNICIPAL,No,No,,,POINT (-4.480775025819731 36.73809335115573),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ece,6220641,,,,,,,-1,0,-1,,,6821,DEA_608,POLICIA NACIONAL Comisaría Provincial (2ªPlanta),"PLAZA DE MANUEL AZAÑA, 3",,afrances@policia.es,,08.00 a 15.00 de Lunes a viernes,,PRIVADA,No,No,952046210,,POINT (-4.448703328001601 36.71431642612036),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ecd,6220642,,,,,,,-1,0,-1,,,6822,DEA_609,"POLICIA NACIONAL Comisaría Provincial (Puerta Principal, control acceso)","PLAZA DE MANUEL AZAÑA, 3",,afrances@policia.es,,24H TODOS LOS DÍAS.,,PRIVADA,No,No,952046210,,POINT (-4.4486612038193 36.71438689792537),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ecc,6220643,,,,,,,-1,0,-1,,,7227,DEA_223,Centro Social de Mayores Miraflores (Hall),"CALLE GAZULES, 8",,asociacionmayores1@gmail.com,,L a S de 9:00 a 21:00 h.,,MUNICIPAL,No,No,600010126,,POINT (-4.439650689296041 36.72857211069091),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ecb,6220644,,,,,,,-1,0,-1,,,4242,DEA_536,CENTRO DE SALUD Nueva Málaga (consulta 4),"CALLE MAGISTRADO SALVADOR BARBERÁ, 22",,direccion.d.malaga.sspa@juntadeandalucia.es,,L a V de 8 a 20 h,,AUTONOMICA,No,No,951308599,,POINT (-4.444634414834105 36.7258174464225),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eca,6220645,,,,,,,-1,0,-1,,,7034,DEA_676,"UMA Aulario ""Severo Ochoa"" (Junto conserjería)","CALLE DE LEÓN TOLSTOI, 2",,,,08:00 a 21:00 horario lectivo,,OTRAS,No,No,952132298,,POINT (-4.471659733349834 36.714256865175024),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ec9,6220646,,,,,,,-1,0,-1,,,3210,DEA_066,CULTURA Fundación Picasso (Recepción),"PLAZA DE LA MERCED, 15",,jlaguna@malaga.eu,,L a D:  9.30 a 20.00 h,,MUNICIPAL,No,No,951926060,,POINT (-4.417622217231208 36.724059476242346),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ec8,6220647,,,,,,,-1,0,-1,,,6663,DEA_194,TOTEM (Plaza de la Merced),"PLAZA DE LA MERCED, 16",,jtoscano@malaga.eu,,24 horas,,MUNICIPAL,No,No,,,POINT (-4.417617792214852 36.72371227116902),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ec7,6220648,,,,,,,-1,0,-1,,,11646,DEA_364,CENTRO CIUDADANO PEDRO DITO,"CARRIL DE LA CORDOBESA, 12",,,,L a V 16:30 a 20:30h.,,MUNICIPAL,No,No,,,POINT (-4.438552824668921 36.707389082646145),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ec6,6220649,,,,,,,-1,0,-1,,,12904,DEA_445,EDUCACION Colegio Europa (PABELLON SECRETARIA),"CALLE LOPE DE RUEDA, 181",,info@colegioeuropamalaga.com,,"LUNES A VIERNES DE 8:00 A 17:30 H
",,PRIVADA,No,No,952431100,,POINT (-4.492473847421048 36.74656095846107),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ec5,6220650,,,,,,,-1,0,-1,,,12604,DEA_455,Ibis Budget Málaga Aeropuerto Avenida Velázquez (Recepción),"CALLE HORACIO QUIROGA, 33",,mantenimiento@cordis-group.com,,24 H,,PRIVADA,No,No,952105155,,POINT (-4.460914344189134 36.69092001364084),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ec4,6220651,,,,,,,-1,0,-1,,,12866,DEA_375,CENTRO CIUDADANO DE MAYORES GUADALMEDINA,"CALLE PINTOR BERROBIANCO MELÉNDEZ, 4",,asociaciondemayoresguadalmedina01@gmail.com,,L a J 10:00 a 12:00 y 18:00 a 20:00 h.,,MUNICIPAL,No,No,952350893,,POINT (-4.443824581457226 36.709209476445515),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ec3,6220652,,,,,,,-1,0,-1,,,4061,DEA_570,EMPRESA Catedral. (Sacristía),"CALLE CÍSTER, 1",,jose.fernandez@diocesismalaga.es,,"De L a V 08:30h a 14:00h
S y D de 08:30h a 14:00h y de 18:00h a 19:00h",,PRIVADA,No,No,952215917,,POINT (-4.4189595770426315 36.720384055650506),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ec2,6220653,,,,,,,-1,0,-1,,,4063,DEA_571,EMPRESA Catedral (Atrio),"CALLE CÍSTER, 1",,jose.fernandez@diocesismalaga.es,,"De L a V de 08,30 a 14,00 h
De S a D de 08,30 a 14,00h y de 18:00h a 19:00h",,PRIVADA,No,No,952220345,,POINT (-4.419514810562961 36.720504632921894),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ec1,6220654,,,,,,,-1,0,-1,,,7865,DEA_242,TOTEM (Calle Císter),"CALLE CÍSTER, 1",,jtoscano@malaga.eu,,24h,,MUNICIPAL,No,No,682760873,,POINT (-4.419307519066676 36.72083146178874),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ec0,6220655,,,,,,,-1,0,-1,,,3685,DEA_138,La Caja Blanca (planta baja),"AVENIDA DEL EDITOR ÁNGEL CAFFARENA, 8",,mmolina@malaga.eu,,"De 8:00 a 15:00 h (L-V)
",,MUNICIPAL,No,No,951926098,,POINT (-4.474707480520127 36.72677541937152),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ebf,6220656,,,,,,,-1,0,-1,,,3944,DEA_584,EDUCACIÓN CE Diocesano Espíritu Santo. (Despacho dirección),"CALLE ALCALDE ROMERO RAGGIO, 15",,relacionesexternas@fundacionvictoria.edu.es,,L a V 7:30 - 15:30 (Periodo lectivo),,PRIVADA,No,No,952310937,,POINT (-4.449247057680144 36.70295293599477),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ebe,6220657,,,,,,,-1,0,-1,,,3749,DEA_120,"CULTURA Cine Albeniz( pasillo, entre sala 2 y 3 )","CALLE ALCAZABILLA, 9",,jmpineda@malagaprocultura.com,,"Taquiila 16:00 A 22:00h
Oficina (L-V) 9:00 a 15:00h",,MUNICIPAL,No,No,639250861,,POINT (-4.417065099058365 36.721939789548586),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ebd,6220658,,,,,,,-1,0,-1,,,12366,DEA_427,TOTEM ( Parque de Huelin),"PARQUE DE HUELIN, 1",,jtoscano@malaga.eu,,24 h.,,MUNICIPAL,No,No,,,POINT (-4.43314056507208 36.70543110165982),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ebc,6220659,,,,,,,-1,0,-1,,,11706,DEA_367,CENTRO CIUDADANO RAFAEL DAVILA,"CALLE VIRGEN DEL PERPETUO SOCORRO, 11",,omaweb@omaweb.org,,L a V 8:00 a 21:00 h.,,MUNICIPAL,No,No,952345201,,POINT (-4.446337577323382 36.715046579749135),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1ebb,6220660,,,,,,,-1,0,-1,,,3764,DEA_150,Instituto Municipal de la Vivienda. Entrada edificio,"CALLE DE SAINT-EXUPÉRY, 22",,imv@malaga.eu,,"L - V DE 6:00 A 22:00 H
",,MUNICIPAL,No,No,951926794,,POINT (-4.457235141993653 36.71716817480913),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eba,6220661,,,,,,,-1,0,-1,,,3224,DEA_020,"BIBLIOTECA ""Francisco Guillén Robles"" Sta. Paula (Frente a la entrada)","PLAZA DE VALENTÍN ORTIGOSA, 2",,biblio.sguillen@malaga.eu,,"L a V 09:30 a 14:00 
M y J 16:30 a 20:30",,MUNICIPAL,No,No,951926174,,POINT (-4.445284120208151 36.690738424902015),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eb9,6220662,,,,,,,-1,0,-1,,,3965,DEA_545,CULTURA CC María Victoria Atencia (conserjería),"CALLE OLLERÍAS, 34",,fjmanzano@malaga.es,,09:00h a 21:00h de L a V,,Provincial,No,No,952133950,,POINT (-4.422475518700859 36.72546721943341),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eb8,6220663,,,,,,,-1,0,-1,,,3225,DEA_070,OMAC Puerto de la Torre (Recepción),"CALLE VÍCTOR HUGO, 1",,fjcintas@malaga.eu,,L-M-X-J-V   8:00 a 15:00 H,,MUNICIPAL,No,No,951926040,,POINT (-4.481565193591701 36.736959342366696),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eb7,6220664,,,,,,,-1,0,-1,,,10567,DEA_644,EMPRESA Vals Sport Cónsul,"CALLE DE SÓFOCLES, 11",,javierpajuelo@valssport.com,,"La V 07:00 a 00:00 fin de semana y festivo 9:00 a 23:00
",,PRIVADA,No,No,952003034,,POINT (-4.480723143251635 36.72241658160123),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eb6,6220665,,,,,,,-1,0,-1,,,7135,DEA_208,Centro Ciudadano El Perchel (Hall),"CALLE LA SERNA, 10",,elperchelasociacion@gmail.com,,L a V 10:00 a 13:00 y 17:00 a 20:00 h.,,MUNICIPAL,No,No,620134831,,POINT (-4.42962373628168 36.7143947697895),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eb5,6220666,,,,,,,-1,0,-1,,,14245,DEA_706,Centro Servicios Sociales CENTRO,"CALLE PADRE JORGE LAMOTHE, 4",,jajsoto@malaga.eu,,L a V 9:00 a 14:00 h.,,MUNICIPAL,No,No,951926071,,POINT (-4.426088468722816 36.721034598191),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eb4,6220667,,,,,,,-1,0,-1,,,13049,DEA_478,EDUCACION CEIP VICENTE ALEIXANDRE(Consejería),"CAMINO DE LA TÉRMICA, 21",,29006325.edu@juntadeandalucia.es,,Horario lectivo 9:00 a 14:00 h.,Planta baja. Consejería,PRIVADA,No,No,951298396,,POINT (-4.447193025729004 36.68866577746134),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eb3,6220668,,,,,,,-1,0,-1,,,7868,DEA_245,"TOTEM (Alameda principal nº 14, esquina con Puerta del Mar)","ALAMEDA PRINCIPAL, 14",,,,24H,,MUNICIPAL,No,No,,,POINT (-4.422751480551675 36.717920748354075),Si,92
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eb2,6220669,,,,,,,-1,0,-1,,,3198,DEA_065,ÁREA Archivo Mpal. (Patio a la derecha),"ALAMEDA PRINCIPAL, 23",,seguridadactiva63@gmail.com,,L a V 9:00 a 14:00,,MUNICIPAL,No,No,951928768,,POINT (-4.423174305103421 36.717183437498576),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eb1,6220670,,,,,,,-1,0,-1,,,4184,DEA_559,METRO Estación de Carranque. (Vestíbulo),"CALLE VIRGEN DE LA CABEZA, 2",,j.ocana@metromalaga.es,,"Lunes a Jueves	06:30-23:15
Viernes	06:30-01:45
Sábado	07:00-01:45
Domingo y Festivos	07:00-23:15
",,PRIVADA,No,No,952061640,,POINT (-4.449235001244216 36.71871411088464),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eb0,6220671,,,,,,,-1,0,-1,,,14244,DEA_705,Centro Servicios Sociales BAILEN-MIRAFLORES,"CALLE TEJARES, 50",,jbuforn@malaga.eu// css4@malaga.eu,,L-V 9:00 a 14:00 h.,,MUNICIPAL,No,No,951927648,,POINT (-4.437392817363312 36.728517047125756),No,82
da_desfibriladores.fid--3b3f458b_19e3a8482f8_-1eaf,6220672,,,,,,,-1,0,-1,,,14124,DEA_692,METRO. Estación Atarazanas,"ALAMEDA PRINCIPAL, 18",,j.ocana@metromalaga.es,,lunes a jueves 06:30-23:15. Viernes 06:30-01:45.Sábado 07:00-01:45. Domingo y festivos 07:00-23:15,,PRIVADA,No,No,951061641,,POINT (-4.423421469925243 36.7177011525602),No,82
